"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs.","ADP"
"1","David Johnson","ARI","RB1","8","1","3","1.4","0.5","1.0","0.0"
"2","Le'Veon Bell","PIT","RB2","9","1","3","1.7","0.5","2.0","0.0"
"3","Antonio Brown","PIT","WR1","9","1","5","3.1","0.6","3.0","0.0"
"4","Ezekiel Elliott","DAL","RB3","6","3","15","5.3","2.3","4.0","0.0"
"5","Odell Beckham Jr.","NYG","WR2","8","4","10","5.5","1.0","5.0","0.0"
"6","Julio Jones","ATL","WR3","5","3","14","5.6","2.0","6.0","0.0"
"7","A.J. Green","CIN","WR4","6","5","14","8.5","2.2","8.0","+1.0"
"8","LeSean McCoy","BUF","RB4","6","4","17","8.9","2.1","9.0","+1.0"
"9","Mike Evans","TB","WR5","11","4","22","9.6","3.8","7.0","-2.0"
"10","Jordy Nelson","GB","WR6","8","5","19","11.3","3.0","12.0","+2.0"
"11","Melvin Gordon","LAC","RB5","9","7","25","11.3","3.4","10.0","-1.0"
"12","Devonta Freeman","ATL","RB6","5","4","23","11.5","3.1","11.0","-1.0"
"13","Michael Thomas","NO","WR7","5","5","26","13.8","3.3","13.0","0.0"
"14","Jay Ajayi","MIA","RB7","11","9","31","16.1","5.4","18.0","+4.0"
"15","T.Y. Hilton","IND","WR8","11","10","38","16.2","4.5","14.0","-1.0"
"16","DeMarco Murray","TEN","RB8","8","9","38","16.2","5.1","16.0","0.0"
"17","Jordan Howard","CHI","RB9","9","9","41","17.6","7.3","15.0","-2.0"
"18","Dez Bryant","DAL","WR9","6","10","32","18.5","4.4","20.0","+2.0"
"19","Amari Cooper","OAK","WR10","10","10","26","19.3","3.3","17.0","-2.0"
"20","Doug Baldwin","SEA","WR11","6","13","31","19.8","4.0","26.0","+6.0"
"21","Rob Gronkowski","NE","TE1","9","14","57","23.1","7.1","19.0","-2.0"
"22","Demaryius Thomas","DEN","WR12","5","14","47","25.0","4.8","28.0","+6.0"
"23","Todd Gurley","LAR","RB10","8","12","59","25.6","7.5","21.0","-2.0"
"24","DeAndre Hopkins","HOU","WR13","7","17","71","26.6","9.1","24.0","0.0"
"25","Brandin Cooks","NE","WR14","9","19","62","31.0","12.4","25.0","0.0"
"26","Leonard Fournette","JAC","RB11","8","12","85","31.0","10.8","23.0","-3.0"
"27","Isaiah Crowell","CLE","RB12","9","12","60","32.1","10.4","38.0","+11.0"
