#	RISK("!"), SLEEPER("$"), ROOKIE("R"), NEW_TEAM("@"), FAVORITE("*"), RISING("+"), FALLING("-"), INJURY_RISK("i"), BUST("B")
Alex Collins, B
Alex Smith, $
Amari Cooper, $
Andrew Luck, $B
Anthony Miller, +
Ben Roethlisberger, B
Brandin Cooks, $B
Carlos Hyde, B
Charles Clay, $
Chris Carson, $
Corey Davis, $
David Njoku, $
Derrick Henry, $
Devin Funchess, $
Drew Brees, B
Duke Johnson, $
Eli Manning, $
Emmanuel Sanders, $
Golden Tate, B
Jack Doyle, B
Jared Cook, B
Jarvis Landry, B
Jay Ajayi, B
Jerick McKinnon, $
Jimmy Graham, $B
Jordan Reed, B
Jordan Wilkins, $
Josh Gordon, $
Justin Jackson, $
Kalen Ballage, $
Kenyan Drake, B
Kirk Cousins, B
LeSean McCoy, B
Marcus Mariota, $
Marshawn Lynch, B
Matt Ryan, $
Matthew Stafford, B
Michael Crabtree, $
Mike Gesicki, $
Mike Williams, $
Mitch Trubisky, $
Nyheim Hines, $
O.J. Howard, $
Patrick Mahomes, $
Paul Richardson, $
Rashaad Penny, $B
Rex Burkhead, $
Ricky Seals-Jones, $
Robert Woods, B
Ronald Jones II, $
Royce Freeman, $
Russell Wilson, B
Ryan Griffin, $
Sammy Watkins, B
Saquon Barkley, B
Sterling Shepard, $
Tom Brady, B
Trey Burton, $
Tyler Eifert, $
Tyreek Hill, B
Will Fuller, $
