Rank,WSID,Overall,Team,Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP
1,,Le'Veon Bell,PIT,RB1,7,1,8,2,1.3,2,1
2,,Todd Gurley,LAR,RB2,12,1,6,2.1,1.2,1,-1
3,,David Johnson,ARI,RB3,9,1,11,4,2.2,3,0
4,,Antonio Brown,PIT,WR1,7,1,11,4.1,1.8,5,1
5,,Ezekiel Elliott,DAL,RB4,8,1,15,5.5,2.7,4,-1
6,,DeAndre Hopkins,HOU,WR2,10,3,16,7.5,2.5,8,2
7,,Alvin Kamara,NO,RB5,6,2,22,7.9,4.1,6,-1
8,,Odell Beckham Jr.,NYG,WR3,9,3,16,8.4,2.6,10,2
9,,Saquon Barkley,NYG,RB6,9,3,23,9.7,4.3,7,-2
10,,Julio Jones,ATL,WR4,8,2,20,10.4,2.9,14,4
11,,Michael Thomas,NO,WR5,6,3,20,11.6,3,15,4
12,,Keenan Allen,LAC,WR6,8,5,21,12.5,3.5,16,4
13,,Melvin Gordon,LAC,RB7,8,6,32,14.2,5.8,11,-2
14,,Kareem Hunt,KC,RB8,12,6,33,15.3,5.7,9,-5
15,,A.J. Green,CIN,WR7,9,9,25,15.8,3.1,19,4
16,,Davante Adams,GB,WR8,7,9,28,16.7,4.1,18,2
17,,Leonard Fournette,JAC,RB9,9,7,51,18.4,7.5,12,-5
18,,Dalvin Cook,MIN,RB10,10,7,39,18.9,6,13,-5
19,,Christian McCaffrey,CAR,RB11,4,6,73,20.2,10,17,-2
20,,Mike Evans,TB,WR9,5,10,45,23.5,6.1,22,2
21,,Rob Gronkowski,NE,TE1,11,14,58,24.6,9.1,21,0
22,,T.Y. Hilton,IND,WR10,9,13,49,25.3,6.2,28,6
23,,Devonta Freeman,ATL,RB12,8,13,71,25.4,9.2,20,-3
24,,Larry Fitzgerald,ARI,WR11,9,12,54,26.2,7.3,33,9
25,,Adam Thielen,MIN,WR12,10,15,60,27.8,7.7,29,4
26,,Doug Baldwin,SEA,WR13,7,14,49,28.2,6.7,34,8
27,,Stefon Diggs,MIN,WR14,10,16,48,28.3,6.7,31,4
28,,Travis Kelce,KC,TE2,12,17,70,28.3,8.5,25,-3
29,,Jerick McKinnon,SF,RB13,11,16,78,29.7,12.8,24,-5
30,,Joe Mixon,CIN,RB14,9,14,77,31.8,10.3,23,-7
31,,Tyreek Hill,KC,WR15,12,18,51,33.3,7.1,32,1
32,,Demaryius Thomas,DEN,WR16,10,15,58,33.7,6.5,40,8
33,,Amari Cooper,OAK,WR17,7,15,91,34.2,10.7,36,3
34,,Jordan Howard,CHI,RB15,5,19,78,34.9,9,26,-8
35,,Golden Tate,DET,WR18,6,23,57,35.5,6.1,45,10
36,,Zach Ertz,PHI,TE3,9,14,78,36.7,10.9,35,-1
37,,Jarvis Landry,CLE,WR19,11,20,67,36.9,10.1,38,1
38,,Aaron Rodgers,GB,QB1,7,31,55,38,5.6,30,-8
39,,LeSean McCoy,BUF,RB16,11,16,115,40.1,18.1,27,-12
40,,Allen Robinson,CHI,WR20,5,22,130,40.9,13.9,42,2
41,,Alex Collins,BAL,RB17,10,21,83,44.5,11.9,41,0
42,,JuJu Smith-Schuster,PIT,WR21,7,28,81,46.5,10.1,46,4
43,,Kenyan Drake,MIA,RB18,11,23,103,48.7,16.2,37,-6
44,,Russell Wilson,SEA,QB2,7,32,88,50.5,12.2,55,11
45,,Marvin Jones,DET,WR22,6,32,79,52.2,9.9,52,7
46,,Tom Brady,NE,QB3,11,28,82,52.8,10.4,53,7
47,,Brandin Cooks,LAR,WR23,12,25,100,52.2,13.7,43,-4
48,,Josh Gordon,CLE,WR24,11,19,101,55.1,16.5,48,0
49,,Jay Ajayi,PHI,RB19,9,13,113,55.7,15.6,44,-5
50,,Cam Newton,CAR,QB4,4,31,91,57.7,13.1,64,14
51,,Corey Davis,TEN,WR25,8,31,123,58.9,16.8,61,10
52,,Deshaun Watson,HOU,QB5,10,32,90,59.2,11.8,47,-5
53,,Dion Lewis,TEN,RB20,8,28,105,59.3,16.5,58,5
54,,Alshon Jeffery,PHI,WR26,9,27,139,57.7,18.8,54,0
55,,Lamar Miller,HOU,RB21,10,26,113,58,18,50,-5
56,,Greg Olsen,CAR,TE4,4,18,120,60.6,15.7,59,3
57,,Michael Crabtree,BAL,WR27,10,18,114,59,17.3,65,8
58,,Royce Freeman,DEN,RB22,10,35,109,60.5,16.3,49,-9
59,,Derrick Henry,TEN,RB23,8,29,115,62.1,18.6,39,-20
60,,Chris Hogan,NE,WR28,11,30,167,63.6,22.8,63,3
61,,Mark Ingram,NO,RB24,6,35,140,65.5,18.3,51,-10
62,,Evan Engram,NYG,TE5,9,17,129,68.6,16.8,62,0
63,,Sammy Watkins,KC,WR29,12,38,113,66.9,16.3,71,8
64,,Emmanuel Sanders,DEN,WR30,10,42,124,67.1,18,77,13
65,,Drew Brees,NO,QB6,6,43,107,68.9,13.1,76,11
66,,Jamison Crowder,WAS,WR31,4,42,118,70,16.8,88,22
67,,Delanie Walker,TEN,TE6,8,48,123,71.8,13.8,69,2
68,,Jimmy Graham,GB,TE7,7,47,128,74.2,17.8,60,-8
69,,Pierre Garcon,SF,WR32,11,36,114,72.7,17.4,86,17
70,,Carson Wentz,PHI,QB7,9,35,150,75.6,20.4,66,-4
71,,Cooper Kupp,LAR,WR33,12,46,107,75.6,13.3,91,20
72,,Robert Woods,LAR,WR34,12,39,132,75.8,16.4,81,9
73,,Rex Burkhead,NE,RB25,11,27,158,75.9,29.1,70,-3
74,,Kyle Rudolph,MIN,TE8,10,18,127,78.2,16.8,78,4
75,,Randall Cobb,GB,WR35,7,40,128,77.5,21,96,21
76,,Robby Anderson,NYJ,WR36,11,39,129,78.6,17.5,97,21
77,,Kirk Cousins,MIN,QB8,10,46,121,80.5,17.1,93,16
78,,Marquise Goodwin,SF,WR37,11,43,125,79.2,19.1,80,2
79,,Marshawn Lynch,OAK,RB26,7,46,133,81.9,18.1,68,-11
80,,Tevin Coleman,ATL,RB27,8,35,145,80.7,21.9,72,-8
81,,Devin Funchess,CAR,WR38,4,44,191,84.3,21.2,83,2
82,,Duke Johnson,CLE,RB28,11,35,153,83,26,85,3
83,,Andrew Luck,IND,QB9,9,41,180,86.7,22.8,90,7
84,,Kerryon Johnson,DET,RB29,6,27,164,85.7,27.7,74,-10
85,,Chris Thompson,WAS,RB30,4,39,215,82.3,29.1,82,-3
86,,Matthew Stafford,DET,QB10,6,54,151,88.9,17.7,100,14
87,,Sony Michel,NE,RB31,11,41,145,87.8,24,67,-20
