# Target Players
Leonard Fournette
Julio Jones
Dalvin Cook
Michael Thomas
Christian McCaffrey
Keenan Allen
Davante Adams
A.J. Green
Joe Mixon
T.Y. Hilton
Adam Thielen
Stefon Diggs
Larry Fitzgerald
Doug Baldwin
Kenyan Drake
JuJu Smith-Schuster
Golden Tate
Lamar Miller
Mark Ingram
Marvin Jones
Dion Lewis
Greg Olsen
Chris Hogan
Evan Engram
Corey Davis
Cam Newton
Marquise Goodwin
Rex Burkhead
Julian Edelman
Delanie Walker
Drew Brees
Emmanuel Sanders
Chris Thompson
Tarik Cohen
Robert Woods
Cooper Kupp
Jamison Crowder
Jordy Nelson
Trey Burton
Jamaal Williams
Jimmy Garoppolo
Nelson Agholor
Sterling Shepard
Matt Ryan
David Njoku
Nick Chubb
Jared Goff
James White
Patrick Mahomes
D.J. Moore
Kenny Stills
Calvin Ridley
Marqise Lee
Marcus Mariota
Peyton Barber
Michael Gallup
Latavius Murray
Corey Clement
Kenny Golladay
Anthony Miller
Tyler Lockett
Rishard Matthews
Bilal Powell
Jameis Winston
Jordan Wilkins
Paul Richardson
Chris Godwin
Austin Hooper
Hayden Hurst
Dede Westbrook
John Brown
Blake Bortles
Eli Manning
Keelan Cole
Ted Ginn
Christian Kirk
Mike Gesicki
Tyrell Williams
Case Keenum
Andy Dalton
Benjamin Watson
James Washington
Eric Ebron
Baker Mayfield
John Ross
T.J. Yeldon
Taywan Taylor
James Conner
Antonio Callaway
Antonio Gates
Wayne Gallman
