"Player","Team","Pass-ATT","Pass-CMP","Pass-YDs","Pass-TDs","Pass-INTs","Rush-ATT","Rush-YDs","Rush-TDs","FumLost","FPTS"
"Aaron Rodgers","GB","588.6","377.9","4,184.3","34.1","9.1","58.9","314.2","2.1","2.5","324.6"
"Tom Brady","NE","587.1","387.1","4,642.0","33.2","8.7","27.7","40.9","0.9","2.4","305.5"
"Russell Wilson","SEA","533.3","328.5","3,866.3","26.3","12.5","90.4","502.1","3.2","2.5","299.3"
"Deshaun Watson","HOU","508.8","308.4","3,754.2","27.4","15.7","76.2","448.5","3.5","2.6","289.0"
"Cam Newton","CAR","512.3","299.6","3,476.1","22.2","14.4","120.9","625.7","5.0","2.1","287.5"
"Drew Brees","NO","570.5","392.6","4,534.2","29.3","12.8","26.7","61.4","1.4","2.3","283.1"
"Matthew Stafford","DET","573.9","371.8","4,261.0","27.0","12.0","34.8","129.1","1.0","2.8","267.6"
"Ben Roethlisberger","PIT","574.6","368.4","4,408.5","28.6","14.7","23.6","61.0","0.7","2.3","267.4"
"Andrew Luck","IND","541.3","339.7","3,955.1","26.1","14.8","55.5","274.0","1.9","2.5","266.8"
"Carson Wentz","PHI","515.4","317.9","3,727.4","26.4","10.8","66.2","275.4","1.9","2.5","266.7"
"Kirk Cousins","MIN","548.6","358.3","4,101.1","25.7","13.4","49.1","164.5","2.5","2.9","266.0"
"Alex Smith","WAS","533.4","343.5","3,922.3","24.2","9.0","58.0","263.1","1.7","3.4","265.5"
"Jimmy Garoppolo","SF","571.5","368.1","4,317.2","24.6","12.0","39.8","115.7","1.5","2.6","262.6"
"Philip Rivers","LAC","569.4","354.9","4,320.0","28.6","13.7","19.0","37.0","0.3","2.5","260.4"
"Matt Ryan","ATL","548.8","359.6","4,236.5","25.3","12.0","34.4","118.9","0.8","2.3","258.5"
"Jared Goff","LAR","535.0","325.4","3,984.8","27.3","11.4","29.5","80.3","1.1","2.9","254.3"
"Dak Prescott","DAL","499.5","311.7","3,460.8","21.6","12.4","59.4","326.6","3.7","2.6","249.7"
"Marcus Mariota","TEN","503.4","310.1","3,555.4","21.5","14.0","65.4","352.5","3.1","2.6","248.7"
"Blake Bortles","JAC","524.9","314.1","3,618.6","21.7","12.9","58.1","329.5","2.3","2.6","247.4"
"Patrick Mahomes","KC","528.8","334.4","3,814.1","22.9","13.8","56.5","231.6","1.9","2.8","245.2"
"Ryan Tannehill","MIA","552.3","348.4","3,862.2","21.9","14.9","39.8","168.5","1.3","2.7","231.6"
"Case Keenum","DEN","553.5","345.7","3,833.8","21.6","12.7","39.4","148.4","1.2","3.1","230.1"
"Derek Carr","OAK","566.4","345.4","3,832.8","24.2","13.2","27.1","76.3","0.6","2.8","229.0"
"Andy Dalton","CIN","533.4","322.2","3,651.0","23.4","13.3","40.9","139.2","1.3","3.1","228.7"
"Mitch Trubisky","CHI","525.0","316.4","3,429.3","19.7","13.7","58.9","296.2","2.2","2.9","225.8"
"Eli Manning","NYG","590.7","361.4","3,864.6","23.9","14.6","15.3","33.0","0.7","2.5","223.1"
"Jameis Winston","TB","465.8","289.6","3,446.5","20.8","11.8","33.8","138.5","1.3","2.3","214.1"
"Tyrod Taylor","CLE","426.1","257.7","2,773.1","15.7","7.6","64.2","346.6","2.8","2.2","205.7"
"Joe Flacco","BAL","549.5","337.7","3,453.5","19.7","13.6","23.5","65.8","1.1","1.9","198.7"
"Sam Bradford","ARI","328.4","212.6","2,407.1","13.5","7.3","12.4","34.0","0.2","1.3","137.9"
"Josh McCown","NYJ","225.6","138.0","1,728.0","10.2","6.5","19.3","81.5","1.0","0.8","109.5"
"Sam Darnold","NYJ","299.4","180.2","1,835.1","10.1","8.8","22.0","71.2","0.5","2.4","101.6"
"AJ McCarron","BUF","223.1","132.7","1,613.2","8.8","6.3","18.4","68.5","0.5","1.4","94.1"
"Josh Rosen","ARI","254.2","156.0","1,681.4","8.8","6.3","14.0","51.0","0.4","1.7","93.7"
"Josh Allen","BUF","259.6","152.6","1,608.0","8.9","8.2","21.6","87.3","0.6","1.2","93.5"
"Baker Mayfield","CLE","130.7","76.8","916.5","5.3","3.8","11.7","54.9","0.4","1.0","55.9"
"Ryan Fitzpatrick","TB","126.1","75.9","858.3","4.5","3.2","8.1","34.3","0.3","0.4","50.1"
"Lamar Jackson","BAL","47.3","27.1","273.7","1.8","1.0","15.7","80.9","0.6","0.9","26.1"
"Nick Foles","PHI","60.9","37.4","370.7","2.9","1.6","5.5","16.4","0.1","0.1","25.2"
"Nathan Peterman","BUF","54.5","31.1","321.6","1.7","1.7","3.6","12.0","0.1","0.4","17.1"
"Jacoby Brissett","IND","36.8","21.9","222.7","1.4","1.2","6.0","28.2","0.3","0.1","16.5"
"Teddy Bridgewater","NYJ","46.7","26.9","301.9","1.5","1.6","3.1","11.2","0.0","0.0","16.0"
"Brandon Weeden","HOU","38.6","23.1","262.0","1.5","1.3","2.9","6.6","0.0","0.0","14.8"
"Landry Jones","PIT","35.0","20.7","237.5","1.1","1.1","2.4","8.2","0.0","0.0","13.0"
"Connor Cook","OAK","32.4","19.8","226.5","1.2","1.0","2.3","8.1","0.0","0.0","12.9"
"Blaine Gabbert","TEN","33.0","19.1","212.9","1.3","1.1","2.0","8.0","0.0","0.0","12.5"
"David Fales","MIA","33.1","19.2","163.0","0.9","1.0","2.7","18.0","0.1","0.2","10.1"
"Chase Daniel","CHI","20.8","12.9","146.9","0.8","0.2","1.2","2.4","0.0","0.0","8.9"
"Matt Barkley","CIN","23.6","14.2","163.3","0.7","0.6","1.2","3.6","0.0","0.0","8.8"
"Davis Webb","NYG","21.6","12.7","140.3","0.6","0.5","1.2","5.4","0.0","0.1","7.5"
"Jake Rudock","DET","23.1","12.7","147.5","0.6","0.8","1.2","4.6","0.0","0.0","7.3"
"Colt McCoy","WAS","17.6","10.6","122.8","0.7","0.5","1.5","4.6","0.0","0.0","7.0"
"Chad Kelly","DEN","18.5","10.9","111.5","0.6","0.7","2.1","12.6","0.1","0.1","7.0"
"Brett Hundley","GB","15.6","8.8","95.5","0.5","0.6","2.0","14.4","0.1","0.1","6.6"
"Austin Davis","SEA","16.3","9.8","110.2","0.5","0.3","0.8","2.3","0.0","0.0","6.0"
"C.J. Beathard","SF","16.6","9.8","107.0","0.3","0.3","1.4","6.9","0.0","0.0","5.9"
"Trevor Siemian","MIN","14.3","8.8","96.3","0.4","0.3","1.3","9.0","0.1","0.1","5.7"
"Cooper Rush","DAL","13.3","7.5","84.7","0.4","0.3","1.7","8.9","0.0","0.0","5.6"
"Brock Osweiler","MIA","15.4","9.1","102.3","0.5","0.5","0.4","5.7","0.0","0.1","5.6"
"Ryan Griffin","HOU","16.3","8.7","99.6","0.5","0.5","1.0","3.6","0.0","0.1","5.1"
"Cody Kessler","JAC","13.6","7.9","88.7","0.5","0.3","0.9","2.3","0.0","0.0","5.1"
"Paxton Lynch","DEN","15.0","8.6","92.8","0.4","0.4","0.9","4.4","0.0","0.0","5.1"
"Sean Mannion","LAR","14.7","8.2","91.2","0.3","0.4","2.4","8.1","0.0","0.1","5.1"
"Brian Hoyer","NE","10.3","5.9","68.4","0.4","0.3","0.7","7.4","0.1","0.1","4.8"
"Tom Savage","NO","14.1","8.6","91.0","0.3","0.4","1.2","2.9","0.0","0.0","4.7"
"Chad Henne","KC","13.2","8.0","90.4","0.3","0.5","1.1","2.4","0.0","0.0","4.2"
"DeShone Kizer","GB","9.8","5.8","64.3","0.2","0.2","1.5","7.0","0.0","0.0","3.8"
"Mason Rudolph","PIT","8.8","5.3","60.8","0.4","0.3","0.3","1.2","0.0","0.0","3.6"
"Matt Schaub","ATL","9.1","5.7","67.8","0.3","0.2","0.6","1.0","0.0","0.0","3.6"
"Geno Smith","LAC","11.3","6.2","70.0","0.2","0.3","1.0","3.0","0.0","0.0","3.3"
"EJ Manuel","OAK","9.6","5.4","62.7","0.2","0.2","0.6","3.7","0.0","0.0","3.2"
"Taylor Heinicke","CAR","9.3","5.3","59.7","0.2","0.1","0.3","0.3","0.0","0.0","3.2"
"Garrett Gilbert","CAR","0.0","0.0","43.3","0.3","0.3","0.0","4.4","0.0","0.1","2.8"
"Kevin Hogan","WAS","1.0","1.0","40.7","0.2","0.3","0.0","4.2","0.0","0.1","2.3"
"Matt Cassel","DET","2.0","1.3","11.5","0.0","0.0","0.0","0.1","0.0","0.0","0.5"
"Mike White","DAL","1.3","0.8","10.1","0.1","0.1","0.1","0.2","0.0","0.0","0.5"
"Robert Griffin","BAL","1.0","0.5","5.5","0.0","0.0","0.5","1.5","0.0","0.0","0.4"
"Danny Etling","NE","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Logan Woodside","CIN","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Tanner Lee","JAC","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Kyle Lauletta","NYG","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Luke Falk","TEN","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Alex McGough","SEA","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Mike Glennon","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cardale Jones","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Matt McGloin","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bryce Petty","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Bray","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex Tanney","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Taysom Hill","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Christian Hackenberg","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Drew Stanton","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Webb","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nate Sudfeld","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Callahan","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
