"Player","Team","Rush-ATTs","Rush-YDs","Rush-TDs","RECs","Rec-YDs","Rec-TDs","FumLost","FPTS"
"Le'Veon Bell","PIT","305.5","1,292.5","9.5","83.2","670.6","3.0","2.1","350.2"
"Todd Gurley","LAR","289.2","1,296.1","11.0","66.2","638.0","3.8","2.0","344.3"
"David Johnson","ARI","278.5","1,076.7","8.7","76.1","739.9","3.3","2.7","324.0"
"Alvin Kamara","NO","165.4","820.8","7.0","74.3","716.6","4.2","1.0","293.1"
"Ezekiel Elliott","DAL","310.8","1,387.1","10.7","41.3","364.3","1.9","1.6","288.6"
"Melvin Gordon","LAC","273.9","1,100.4","7.9","56.8","480.5","2.5","1.2","274.4"
"Kareem Hunt","KC","249.1","1,116.5","8.2","52.5","410.9","2.2","1.5","264.3"
"Saquon Barkley","NYG","256.5","1,100.1","7.3","55.3","418.8","2.0","1.5","260.3"
"Leonard Fournette","JAC","290.7","1,172.6","9.4","38.9","322.0","1.3","1.2","250.3"
"Christian McCaffrey","CAR","155.8","597.3","3.6","76.2","686.9","4.2","1.1","249.5"
"Dalvin Cook","MIN","262.1","1,140.4","7.6","45.4","365.4","1.8","1.8","248.3"
"Devonta Freeman","ATL","220.8","959.2","7.7","45.1","381.3","1.9","1.4","234.0"
"Jerick McKinnon","SF","210.5","821.2","5.5","56.8","444.0","1.9","1.5","224.3"
"LeSean McCoy","BUF","209.5","918.9","5.3","44.5","361.7","1.7","1.2","212.7"
"Jordan Howard","CHI","248.7","1,067.0","7.7","26.9","193.1","0.7","1.1","201.3"
"Joe Mixon","CIN","230.3","900.3","6.5","37.9","297.0","1.1","1.6","200.1"
"Kenyan Drake","MIA","185.9","825.8","5.3","41.4","321.3","1.2","1.5","192.3"
"Alex Collins","BAL","228.2","991.8","6.5","28.2","224.2","0.8","2.1","189.4"
"Lamar Miller","HOU","210.9","834.9","4.3","35.7","276.0","1.6","1.1","180.2"
"Derrick Henry","TEN","211.8","935.2","6.8","20.3","195.6","1.0","1.1","178.0"
"Jay Ajayi","PHI","222.9","958.3","5.6","26.1","190.9","0.8","2.0","175.8"
"Royce Freeman","DEN","185.6","815.9","5.2","32.3","265.6","1.1","1.6","175.1"
"Chris Thompson","WAS","76.3","319.1","1.9","57.7","534.3","3.2","1.5","170.6"
"Rex Burkhead","NE","129.7","576.3","5.8","34.7","298.1","2.0","0.8","167.7"
"Mark Ingram","NO","156.9","693.9","5.7","33.4","241.9","1.1","1.4","164.9"
"Dion Lewis","TEN","138.4","613.6","3.8","41.9","304.6","1.8","1.2","164.9"
"Duke Johnson","CLE","67.6","304.6","2.2","58.2","515.5","2.1","1.1","163.6"
"Tevin Coleman","ATL","148.5","623.8","4.5","33.1","302.9","2.0","0.8","163.1"
"Marlon Mack","IND","166.2","662.3","4.8","30.7","289.9","1.6","0.8","162.4"
"Isaiah Crowell","NYJ","182.3","728.4","4.4","29.3","206.9","0.7","1.0","151.4"
"Tarik Cohen","CHI","86.0","347.9","1.9","56.4","405.1","1.6","1.3","149.7"
"Marshawn Lynch","OAK","181.0","770.4","6.1","20.2","152.8","0.4","1.0","149.5"
"Carlos Hyde","CLE","161.8","700.9","4.9","27.1","193.7","0.6","1.7","146.4"
"James White","NE","60.2","261.6","2.3","49.4","400.4","2.9","0.6","145.8"
"Jamaal Williams","GB","139.3","613.0","4.3","25.0","240.7","1.4","0.8","142.8"
"Ronald Jones II","TB","164.1","702.5","4.2","24.7","207.3","0.7","1.5","142.1"
"Kerryon Johnson","DET","150.0","596.5","4.0","29.7","228.6","0.9","1.3","139.2"
"Giovani Bernard","CIN","92.1","409.3","2.3","39.6","343.3","1.5","0.9","135.6"
"Chris Carson","SEA","131.1","577.0","3.8","25.0","211.6","1.4","1.1","132.5"
"Theo Riddick","DET","60.6","236.9","1.4","49.1","386.3","1.9","0.7","130.3"
"Devontae Booker","DEN","129.6","492.8","2.9","32.9","272.5","1.0","1.2","130.1"
"Ty Montgomery","GB","77.2","339.4","2.7","41.9","298.6","1.5","0.6","129.7"
"Rashaad Penny","SEA","143.5","539.1","3.6","24.4","184.5","0.8","0.8","121.4"
"Bilal Powell","NYJ","116.1","496.3","3.2","28.6","198.6","0.7","0.9","119.8"
"Sony Michel","NE","122.9","474.3","4.0","23.4","173.7","0.7","0.8","114.8"
"Javorius Allen","BAL","92.0","368.3","2.7","33.3","214.8","1.0","0.6","112.2"
"C.J. Anderson","CAR","143.0","606.2","4.0","13.1","114.0","0.5","0.8","110.8"
"Samaje Perine","WAS","154.2","528.7","3.6","21.2","149.1","0.5","1.7","110.2"
"Corey Clement","PHI","91.2","343.3","3.2","23.6","228.2","1.4","0.7","106.6"
"Matt Breida","SF","100.6","437.7","2.9","23.1","180.2","0.8","0.9","105.4"
"Frank Gore","MIA","113.0","438.1","2.4","25.6","179.4","0.8","0.7","105.0"
"Austin Ekeler","LAC","83.2","330.8","2.2","28.9","247.8","1.6","2.1","104.9"
"Nyheim Hines","IND","79.7","301.6","2.0","31.6","233.3","1.1","0.7","102.2"
