"Player","Team","RECs","Rec-YDs","Rec-TDs","FumLost","FPTS"
"Rob Gronkowski","NE","75.2","1,085.3","9.1","0.2","238.0"
"Travis Kelce","KC","82.6","985.2","6.6","0.2","220.6"
"Zach Ertz","PHI","76.3","849.1","6.4","0.5","198.6"
"Evan Engram","NYG","67.7","762.2","5.3","0.3","175.0"
"Delanie Walker","TEN","66.7","772.7","5.0","0.9","172.1"
"Greg Olsen","CAR","63.2","770.9","5.1","0.3","170.6"
"Jimmy Graham","GB","62.1","648.5","6.7","0.5","166.3"
"Kyle Rudolph","MIN","60.3","606.3","5.9","0.2","155.9"
"Jack Doyle","IND","63.9","621.7","4.8","0.9","152.9"
"Jordan Reed","WAS","60.7","625.9","4.6","0.4","149.9"
"Trey Burton","CHI","52.8","583.2","4.2","0.3","135.5"
"George Kittle","SF","47.2","559.4","4.2","0.3","127.7"
"David Njoku","CLE","48.0","532.9","4.1","0.2","125.2"
"Charles Clay","BUF","51.8","550.3","3.0","0.2","124.7"
"Jared Cook","OAK","46.6","571.2","3.6","0.5","124.1"
"Cameron Brate","TB","44.3","542.3","4.1","0.3","122.6"
"Eric Ebron","IND","45.3","534.5","4.1","0.5","122.3"
"Tyler Eifert","CIN","40.9","486.8","4.7","0.3","117.4"
"Benjamin Watson","NO","44.9","468.2","3.8","0.2","114.0"
"Vance McDonald","PIT","40.9","499.6","3.5","0.2","111.7"
"Austin Hooper","ATL","44.1","473.1","3.4","0.2","111.4"
"Ricky Seals-Jones","ARI","37.3","494.1","4.0","0.3","110.1"
"Austin Seferian-Jenkins","JAC","44.8","465.9","3.2","0.5","109.5"
"O.J. Howard","TB","37.9","491.1","3.9","1.2","107.7"
"Hayden Hurst","BAL","41.1","401.8","2.9","0.3","98.0"
"Mike Gesicki","MIA","39.3","375.1","2.7","0.3","92.1"
"Vernon Davis","WAS","32.3","411.1","2.6","1.0","87.2"
"Luke Willson","DET","33.1","317.9","2.8","0.2","81.2"
"Jake Butt","DEN","29.5","326.1","2.4","0.3","75.5"
"Virgil Green","LAC","30.3","311.6","2.4","0.2","75.2"
"Ryan Griffin","HOU","28.2","331.9","2.0","0.6","72.3"
"Tyler Higbee","LAR","27.5","302.3","2.2","0.3","70.2"
"Ed Dickson","SEA","26.3","305.6","2.2","0.2","69.7"
"Blake Jarwin","DAL","26.8","288.6","2.4","0.3","69.5"
"Jesse James","PIT","29.0","279.3","2.2","0.2","69.5"
"Tyler Kroft","CIN","26.6","266.5","2.5","0.2","67.7"
"Garrett Celek","SF","23.4","272.3","2.6","0.2","65.8"
"Dallas Goedert","PHI","25.4","254.1","2.3","0.2","63.8"
"Jonnu Smith","TEN","24.8","252.1","2.0","0.2","61.8"
"Nick Vannett","SEA","24.5","244.3","2.1","0.2","61.5"
"Jermaine Gresham","ARI","25.2","258.4","1.4","0.2","59.3"
