"Player","Team","RECs","Rec-YDs","Rec-TDs","Rush-ATTs","Rush-YDs","Rush-TDs","FumLost","FPTS"
"Antonio Brown","PIT","104.7","1,473.1","10.2","0.2","1.1","0.0","0.3","312.8"
"DeAndre Hopkins","HOU","93.5","1,311.1","9.5","0.0","0.0","0.0","0.6","280.4"
"Julio Jones","ATL","93.8","1,437.0","7.0","0.9","6.4","0.0","0.3","279.9"
"Odell Beckham Jr.","NYG","96.6","1,239.1","8.1","2.3","14.1","0.0","0.5","269.7"
"Michael Thomas","NO","99.1","1,247.7","7.6","0.3","1.0","0.0","0.3","269.1"
"Keenan Allen","LAC","95.6","1,276.0","7.2","1.0","5.2","0.0","0.4","266.5"
"A.J. Green","CIN","85.6","1,180.9","7.4","0.0","0.0","0.0","1.0","245.9"
"Davante Adams","GB","84.8","1,068.0","9.0","0.0","0.0","0.0","0.3","244.7"
"Mike Evans","TB","80.5","1,122.8","6.9","0.0","0.0","0.0","0.3","233.8"
"Larry Fitzgerald","ARI","96.6","1,009.3","5.5","0.1","0.2","0.0","0.7","229.2"
"Tyreek Hill","KC","75.5","995.0","6.0","15.5","93.5","0.9","0.4","225.0"
"Doug Baldwin","SEA","78.9","1,021.3","7.2","1.8","8.2","0.0","0.3","224.5"
"Adam Thielen","MIN","81.8","1,073.6","5.6","1.3","6.8","0.0","1.0","221.3"
"Golden Tate","DET","90.3","984.7","5.0","4.6","21.9","0.0","0.7","219.7"
"Amari Cooper","OAK","77.5","1,017.2","6.5","0.9","5.8","0.0","0.3","218.4"
"Demaryius Thomas","DEN","84.0","995.6","5.9","0.0","0.0","0.0","0.8","217.5"
"Stefon Diggs","MIN","76.6","985.9","6.4","5.5","29.6","0.1","0.3","216.9"
"T.Y. Hilton","IND","72.3","1,067.3","6.3","0.0","0.0","0.0","0.6","215.8"
"Jarvis Landry","CLE","87.1","929.8","5.3","0.9","4.6","0.0","1.4","209.7"
"JuJu Smith-Schuster","PIT","66.2","921.9","7.2","0.3","1.3","0.0","0.3","200.8"
"Allen Robinson","CHI","68.5","940.0","5.8","0.3","1.0","0.0","0.3","196.6"
"Michael Crabtree","BAL","74.7","840.5","6.0","0.0","0.1","0.0","0.2","194.3"
"Marvin Jones","DET","61.0","932.8","6.8","0.0","-0.1","0.0","0.4","194.2"
"Brandin Cooks","LAR","61.2","892.6","6.0","6.6","37.8","0.4","0.4","191.5"
"Josh Gordon","CLE","62.6","956.0","5.6","0.5","2.9","0.0","0.4","191.4"
"Randall Cobb","GB","72.9","746.6","5.2","7.5","40.8","0.1","0.3","183.4"
"Alshon Jeffery","PHI","58.8","839.2","6.7","0.0","0.0","0.0","0.3","182.2"
"Chris Hogan","NE","59.9","828.8","6.3","2.2","14.1","0.1","0.3","181.7"
"Pierre Garcon","SF","69.2","876.8","4.0","0.1","0.3","0.0","0.3","180.3"
"Robert Woods","LAR","63.0","859.1","5.2","1.9","12.1","0.0","0.7","180.2"
"Marquise Goodwin","SF","57.5","894.4","5.1","3.5","25.4","0.0","0.3","179.9"
"Cooper Kupp","LAR","63.2","835.6","5.5","0.0","0.0","0.0","0.7","178.1"
"Devin Funchess","CAR","58.2","830.1","6.0","0.0","-0.1","0.0","0.3","177.0"
"Robby Anderson","NYJ","61.6","834.4","5.1","2.7","16.2","0.0","0.4","176.9"
"Sammy Watkins","KC","60.5","825.2","5.7","0.3","1.1","0.0","0.2","176.7"
"Emmanuel Sanders","DEN","67.5","834.4","4.3","0.1","4.0","0.0","0.3","176.6"
"Corey Davis","TEN","68.3","806.9","4.9","0.0","0.0","0.0","1.1","176.2"
"Jamison Crowder","WAS","68.6","813.3","4.5","3.8","18.6","0.1","1.5","176.0"
"Kenny Stills","MIA","57.4","809.9","4.7","0.0","0.0","0.0","0.9","164.9"
"Jordy Nelson","OAK","65.4","696.9","4.9","0.9","5.7","0.0","0.3","164.5"
