#	RISK("!"), SLEEPER("$"), ROOKIE("R"), NEW_TEAM("@"), FAVORITE("*"), RISING("+"), FALLING("-"), INJURY_RISK("i"), BUST("B")
A.J. Green,*
Aaron Jones,$
Alex Collins,B
Alex Smith,$
Alvin Kamara,*
Amari Cooper,$+
Andrew Luck,$Bi
Anthony Miller,++*
Antonio Callaway,*
Baker Mayfield,*
Ben Roethlisberger,B
Brandin Cooks,$B
Calvin Ridley,+
Carlos Hyde,B
Chad Williams,$
Charles Clay,$
Chris Carson,$+
Chris Hogan,+$*
Chris Ivory,*
Chris Thompson,i
Christian Kirk,+
Christian McCaffrey,*
Cooper Kupp,$*
Corey Davis,$$
D.J. Moore,$
Dalvin Cook,+*
Davante Adams,+*
David Njoku,$*
Dede Westbrook,*
Delanie Walker,*
Derrick Henry,$
Devante Parker,-i
Devin Funchess,$-
Doug Baldwin,+i
Drew Brees,B+
Duke Johnson,$
Eli Manning,$
Emmanuel Sanders,$*
Geronimo Allison,$
Golden Tate,B
Hayden Hurst,$*
Jack Doyle,B
Jamaal Williams,+
Jared Cook,B
Jared Goff,+*
Jarvis Landry,B
Jay Ajayi,B
Jerick McKinnon,$i
Jimmy Graham,$B+
Joe Mixon,*
John Brown,*
Jordan Reed,B
Jordan Wilkins,$
Jordy Nelson,*
Josh Gordon,$B!
JuJu Smith-Schuster,*
Julian Edelman,+
Julio Jones,*
Kalen Ballage,$
Keenan Allen,*
Kenyan Drake,B+
Kirk Cousins,B
LeSean McCoy,B
Leonard Fournette,*
Marcus Mariota,$+*
Marqise Lee,*
Marquise Goodwin,*
Marshawn Lynch,B
Matt Ryan,$**
Matthew Stafford,B
Michael Crabtree,$
Michael Gallup,$*
Michael Thomas,*
Mike Gesicki,$
Mike Williams,$$
Mitch Trubisky,$
Nelson Agholor,*
Nyheim Hines,$
O.J. Howard,$
Patrick Mahomes,$
Paul Richardson,$
Pierre Garcon,$
Quincy Enunwa,$
Randall Cobb,+
Rashaad Penny,$B-i
Rex Burkhead,$i*
Ricky Seals-Jones,$
Rishard Matthews,i*
Robert Woods,B+$*
Ronald Jones II,$
Royce Freeman,$
Russell Wilson,B
Ryan Grant,$
Sammy Watkins,B
Saquon Barkley,Bi
Sony Michel,i
Stefon Diggs,*
Sterling Shepard,$
T.Y. Hilton,*
Tom Brady,B
Trey Burton,$
Tyler Eifert,$i
Tyler Lockett,*
Tyreek Hill,B
Will Fuller,$$
