"Rank","Player","Team","Bye","POS","ESPN","MFL","FFC","RTSports","Fantrax","DW","AVG"
"1","Todd Gurley","LAR","12","RB1","2","1","1","1","1","","1.2"
"2","Le'Veon Bell","PIT","7","RB2","1","3","2","2","2","","2.0"
"3","David Johnson","ARI","9","RB3","3","4","4","3","3","","3.4"
"4","Ezekiel Elliott","DAL","8","RB4","4","2","3","4","5","","3.6"
"5","Antonio Brown","PIT","7","WR1","5","7","5","6","4","","5.4"
"6","Alvin Kamara","NO","6","RB5","7","8","6","5","6","","6.4"
"7","Saquon Barkley","NYG","9","RB6","6","5","7","7","8","","6.6"
"8","DeAndre Hopkins","HOU","10","WR2","9","6","8","9","7","","7.8"
"9","Odell Beckham Jr.","NYG","9","WR3","11","9","10","11","9","","10.0"
"10","Kareem Hunt","KC","12","RB7","12","10","11","8","10","","10.2"
"11","Melvin Gordon","LAC","8","RB8","13","13","9","10","11","","11.2"
"12","Leonard Fournette","JAC","9","RB9","10","11","12","12","12","","11.4"
"13","Julio Jones","ATL","8","WR4","8","15","14","14","13","","12.8"
"14","Dalvin Cook","MIN","10","RB10","14","14","13","13","15","","13.8"
"15","Michael Thomas","NO","6","WR5","16","12","15","15","14","","14.4"
"16","Keenan Allen","LAC","8","WR6","15","16","16","17","16","","16.0"
"17","Christian McCaffrey","CAR","4","RB11","20","18","18","16","17","","17.8"
"18","A.J. Green","CIN","9","WR7","17","20","20","19","19","","19.0"
"19","Davante Adams","GB","7","WR8","22","17","19","20","18","","19.2"
"20","Devonta Freeman","ATL","8","RB12","21","22","17","18","22","","20.0"
"21","Mike Evans","TB","5","WR9","24","19","24","22","21","","22.0"
"22","Rob Gronkowski","NE","11","TE1","19","25","23","23","25","","23.0"
"23","Jerick McKinnon","SF","11","RB13","31","26","21","21","23","","24.4"
"24","Jordan Howard","CHI","5","RB14","30","28","22","25","24","","25.8"
"25","Joe Mixon","CIN","9","RB15","36","21","25","24","27","","26.6"
"26","Travis Kelce","KC","12","TE2","26","24","30","26","29","","27.0"
"27","LeSean McCoy","BUF","11","RB16","18","46","28","30","20","","28.4"
"28","Adam Thielen","MIN","10","WR10","25","35","29","28","28","","29.0"
"29","Tyreek Hill","KC","12","WR11","33","27","33","27","26","","29.2"
"30","Aaron Rodgers","GB","7","QB1","23","23","36","34","35","","30.2"
"31","Doug Baldwin","SEA","7","WR12","34","33","26","29","30","","30.4"
"32","T.Y. Hilton","IND","9","WR13","27","37","27","33","31","","31.0"
"33","Stefon Diggs","MIN","10","WR14","35","29","34","39","32","","33.8"
"34","Zach Ertz","PHI","9","TE3","32","34","39","31","33","","33.8"
"35","Larry Fitzgerald","ARI","9","WR15","29","50","32","35","34","","36.0"
